id,content_type_id,codename,name
1,1,add_logentry,"Can add log entry"
2,1,change_logentry,"Can change log entry"
3,1,delete_logentry,"Can delete log entry"
4,1,view_logentry,"Can view log entry"
5,2,add_permission,"Can add permission"
6,2,change_permission,"Can change permission"
7,2,delete_permission,"Can delete permission"
8,2,view_permission,"Can view permission"
9,3,add_group,"Can add group"
10,3,change_group,"Can change group"
11,3,delete_group,"Can delete group"
12,3,view_group,"Can view group"
13,4,add_contenttype,"Can add content type"
14,4,change_contenttype,"Can change content type"
15,4,delete_contenttype,"Can delete content type"
16,4,view_contenttype,"Can view content type"
17,5,add_session,"Can add session"
18,5,change_session,"Can change session"
19,5,delete_session,"Can delete session"
20,5,view_session,"Can view session"
21,6,add_user,"Can add user"
22,6,change_user,"Can change user"
23,6,delete_user,"Can delete user"
24,6,view_user,"Can view user"
25,7,add_searchhistory,"Can add search history"
26,7,change_searchhistory,"Can change search history"
27,7,delete_searchhistory,"Can delete search history"
28,7,view_searchhistory,"Can view search history"
29,8,add_animal,"Can add animal"
30,8,change_animal,"Can change animal"
31,8,delete_animal,"Can delete animal"
32,8,view_animal,"Can view animal"
33,9,add_cctvdevice,"Can add cctv device"
34,9,change_cctvdevice,"Can change cctv device"
35,9,delete_cctvdevice,"Can delete cctv device"
36,9,view_cctvdevice,"Can view cctv device"
37,10,add_motionsensor,"Can add motion sensor"
38,10,change_motionsensor,"Can change motion sensor"
39,10,delete_motionsensor,"Can delete motion sensor"
40,10,view_motionsensor,"Can view motion sensor"
41,11,add_report,"Can add report"
42,11,change_report,"Can change report"
43,11,delete_report,"Can delete report"
44,11,view_report,"Can view report"
45,12,add_location,"Can add Location"
46,12,change_location,"Can change Location"
47,12,delete_location,"Can delete Location"
48,12,view_location,"Can view Location"
49,13,add_statistic,"Can add Statistic"
50,13,change_statistic,"Can change Statistic"
51,13,delete_statistic,"Can delete Statistic"
52,13,view_statistic,"Can view Statistic"
53,14,add_notification,"Can add Notification"
54,14,change_notification,"Can change Notification"
55,14,delete_notification,"Can delete Notification"
56,14,view_notification,"Can view Notification"
57,15,add_report,"Can add report"
58,15,change_report,"Can change report"
59,15,delete_report,"Can delete report"
60,15,view_report,"Can view report"
61,16,add_feedback,"Can add Feedback"
62,16,change_feedback,"Can change Feedback"
63,16,delete_feedback,"Can delete Feedback"
64,16,view_feedback,"Can view Feedback"
65,17,add_admin,"Can add admin"
66,17,change_admin,"Can change admin"
67,17,delete_admin,"Can delete admin"
68,17,view_admin,"Can view admin"
69,18,add_savedplace,"Can add saved place"
70,18,change_savedplace,"Can change saved place"
71,18,delete_savedplace,"Can delete saved place"
72,18,view_savedplace,"Can view saved place"
73,19,add_prediction,"Can add prediction"
74,19,change_prediction,"Can change prediction"
75,19,delete_prediction,"Can delete prediction"
76,19,view_prediction,"Can view prediction"
77,20,add_profile,"Can add profile"
78,20,change_profile,"Can change profile"
79,20,delete_profile,"Can delete profile"
80,20,view_profile,"Can view profile"
