id,app,name,applied
1,contenttypes,0001_initial,"2025-07-24 15:08:19.290209"
2,contenttypes,0002_remove_content_type_name,"2025-07-24 15:08:19.306507"
3,auth,0001_initial,"2025-07-24 15:08:19.329190"
4,auth,0002_alter_permission_name_max_length,"2025-07-24 15:08:19.349710"
5,auth,0003_alter_user_email_max_length,"2025-07-24 15:08:19.359881"
6,auth,0004_alter_user_username_opts,"2025-07-24 15:08:19.371519"
7,auth,0005_alter_user_last_login_null,"2025-07-24 15:08:19.385369"
8,auth,0006_require_contenttypes_0002,"2025-07-24 15:08:19.391750"
9,auth,0007_alter_validators_add_error_messages,"2025-07-24 15:08:19.402479"
10,auth,0008_alter_user_username_max_length,"2025-07-24 15:08:19.413552"
11,auth,0009_alter_user_last_name_max_length,"2025-07-24 15:08:19.425314"
12,auth,0010_alter_group_name_max_length,"2025-07-24 15:08:19.438050"
13,auth,0011_update_proxy_permissions,"2025-07-24 15:08:19.446150"
14,auth,0012_alter_user_first_name_max_length,"2025-07-24 15:08:19.456287"
15,api,0001_initial,"2025-07-24 15:08:19.480590"
16,admin,0001_initial,"2025-07-24 15:08:19.499289"
17,admin,0002_logentry_remove_auto_add,"2025-07-24 15:08:19.518145"
18,admin,0003_logentry_add_action_flag_choices,"2025-07-24 15:08:19.528529"
19,sessions,0001_initial,"2025-07-24 15:08:19.550183"
20,api,0002_animal,"2025-07-27 05:46:48.713836"
21,api,0003_remove_searchhistory_description_and_more,"2025-07-27 06:18:07.853426"
22,api,0004_alter_animal_features_alter_animal_precautions_and_more,"2025-07-29 02:56:49.914300"
23,dashboard,0001_initial,"2025-08-04 11:37:04.565278"
24,api,0005_location_statistic_alter_animal_options_and_more,"2025-08-05 07:03:45.644861"
25,api,0006_remove_report_report_region_report_address_and_more,"2025-08-09 07:25:46.093036"
26,api,0007_alter_notification_options_remove_notification_read_and_more,"2025-08-09 23:31:14.409850"
27,api,0008_alter_feedback_options_remove_feedback_id_and_more,"2025-08-09 23:39:57.599395"
28,api,0009_alter_location_options_location_animal_and_more,"2025-08-10 03:52:00.739634"
29,api,0010_rename_address_location_region,"2025-08-10 04:32:13.332818"
30,api,0011_remove_location_api_locatio_report__b4d0fc_idx_and_more,"2025-08-10 07:39:57.790477"
31,api,0012_remove_report_api_report_address_dd56f8_idx_and_more,"2025-08-10 08:38:34.568504"
32,api,0013_remove_location_api_locatio_report__ffcd38_idx_and_more,"2025-08-13 10:39:08.679167"
33,api,0014_remove_location_report_report_location,"2025-08-15 07:01:54.363178"
34,api,0015_admin_notification_status_change_and_more,"2025-08-21 11:29:49.499750"
35,dashboard,0002_prediction,"2025-08-26 04:57:07.905939"
36,api,0016_admin_created_at_admin_display_name_admin_user_and_more,"2025-08-26 11:49:13.968732"
37,api,0002_profile,"2025-08-27 01:49:26.057265"
38,api,0003_alter_savedplace_options_and_more,"2025-08-27 04:39:36.188996"
39,api,0004_remove_savedplace_uniq_user_client_id_and_more,"2025-08-27 05:08:07.275771"
40,api,0005_remove_notification_notif_user_null_only_for_group_and_more,"2025-08-28 05:49:34.809858"
