id,user_id,type,status_change,reply,created_at
1,1,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2024-01-01 00:00:00"
2,2,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-01-28 00:00:00"
3,3,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-01-29 00:00:00"
4,5,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-02-01 00:00:00"
5,6,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-02-03 00:00:00"
6,9,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-03-08 00:00:00"
7,10,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-03-09 00:00:00"
8,11,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-03-15 00:00:00"
9,12,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-03-25 00:00:00"
10,13,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-03-29 00:00:00"
11,16,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-04-23 00:00:00"
12,18,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-05-01 00:00:00"
13,19,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-05-04 00:00:00"
14,20,individual,completed,"현장 확인 중이던 신고 건 처리가 완료되었습니다.","2024-05-19 00:00:00"
15,23,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-07-12 00:00:00"
16,25,individual,completed,"보류 중이던 신고 건 처리가 완료되었습니다.","2024-07-21 00:00:00"
17,29,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2024-08-21 00:00:00"
18,30,individual,on_hold,"신고 건이 보류 처리되었습니다. 조치 일정 조율 후 안내드리겠습니다.","2024-08-25 00:00:00"
